log_price,warranty_available,free_shipping,has_pictures,num_pictures,condition
4.394449154672438,False,False,True,2,new
7.8826922062890254,True,False,True,6,used
4.110873864173311,False,False,True,1,used
6.364750756851911,False,False,True,2,new
3.4339872044851463,True,False,True,2,used
5.739792912179234,True,False,True,1,new
5.198497031265825,False,False,True,5,used
5.017279836814924,False,False,True,5,used
7.763446388727362,True,True,True,3,new
4.795790545596741,False,False,True,2,new
3.9318256327243257,False,False,True,3,new
9.159152335206748,False,False,True,4,new
4.2484952420493585,True,False,True,1,used
6.111467339502678,False,False,True,3,new
5.049856007249537,False,False,True,1,new
4.61512051684126,False,False,True,5,new
3.4339872044851463,True,False,True,3,used
8.699681400989512,False,False,True,1,used
4.709530201312334,False,False,True,2,new
5.141663556502659,False,False,True,1,new
4.110873864173311,True,False,True,1,used
5.25227342804663,False,False,True,1,new
11.51293546492023,False,False,True,6,new
6.175867270105761,False,False,True,2,used
6.85751406254539,False,False,True,2,new
4.948759890378168,False,False,True,1,used
4.025351690735149,True,False,True,2,used
4.330733340286331,True,False,True,1,used
4.61512051684126,False,False,True,1,used
6.381816017406098,False,False,True,5,new
5.111987788356543,True,False,True,4,used
5.298317366548036,False,False,True,2,new
4.51085950651685,False,False,True,3,new
7.844240718141811,True,False,False,0,new
6.478509642208569,False,False,True,6,new
4.61512051684126,False,False,True,4,used
6.061456918928017,True,False,True,3,new
4.875197323201151,True,False,True,1,used
3.7135720667043075,True,False,True,1,used
7.696667081526462,False,False,True,6,used
8.517393171418904,False,False,False,0,used
3.7135720667043075,False,False,True,1,used
8.294049640102028,True,True,True,5,new
3.2580965380214817,False,False,True,1,new
4.51085950651685,False,False,True,4,used
4.394449154672438,False,False,True,2,used
3.862622655133019,True,False,True,1,used
7.186144304522325,True,False,True,1,new
4.2484952420493585,True,False,True,4,new
5.442417710521793,True,False,True,3,used
4.795790545596741,True,False,True,2,used
4.499809670330265,True,False,True,2,new
6.398594934535208,False,False,True,1,used
6.19644412779452,True,False,True,6,new
12.358798024384122,False,False,True,7,used
6.182084906716631,False,False,True,5,new
5.141663556502659,False,False,True,1,new
5.707110264748875,False,False,True,1,used
5.999606312799605,False,True,True,1,new
8.881975184248866,False,False,True,10,new
4.6141299273595635,False,False,True,2,used
3.4339872044851463,False,False,True,1,new
5.303304908059076,False,False,True,2,new
4.795790545596741,True,False,True,1,used
5.993961427306569,False,False,True,2,used
6.769641976852503,True,True,True,3,new
6.478509642208569,False,False,True,1,used
6.2166061010848646,False,False,True,3,used
9.898525260706313,True,False,True,2,new
2.8903717578961645,False,False,True,3,new
5.247024072160486,False,False,True,3,new
4.2626798770413155,False,False,True,1,new
7.68059125844345,False,False,True,6,new
4.61512051684126,False,False,True,2,used
4.948759890378168,False,False,True,1,new
7.4091364439201275,False,False,True,3,used
3.9318256327243257,False,False,True,2,used
4.110873864173311,False,False,True,5,used
4.110873864173311,True,False,True,1,used
5.602118820879701,False,False,True,3,new
3.4307561839036995,False,False,True,3,new
8.45553053102413,True,False,True,4,used
5.442417710521793,True,False,True,5,used
4.51085950651685,True,False,True,2,used
6.538139823767669,False,False,True,6,used
3.58351893845611,False,False,True,6,new
5.303304908059076,False,False,True,1,new
4.51085950651685,False,False,True,1,used
3.433664571799657,False,False,True,1,new
3.9318256327243257,False,False,True,2,new
6.415096959171595,False,False,True,5,new
5.081404364984463,True,False,True,3,used
9.230142999272362,True,False,True,2,new
3.9318256327243257,False,False,True,1,used
5.017279836814924,True,False,True,1,new
7.824046010856292,True,False,True,4,new
8.564076777315087,True,False,True,1,new
8.286450842226698,False,False,True,2,new
6.398594934535208,False,False,True,4,used
3.9318256327243257,False,False,True,3,used
6.573680166960646,True,False,True,6,new
7.877017895622398,True,False,True,3,new
3.58351893845611,True,False,True,1,new
8.188966863648876,False,False,True,4,used
6.380122536899765,True,False,True,4,new
3.9318256327243257,False,False,True,1,used
5.303304908059076,False,False,True,2,new
6.508769136971681,True,False,True,3,new
4.7957078975533864,False,False,True,5,new
5.44673737166631,False,False,True,6,new
6.746412128573374,False,False,True,2,new
6.898714534329987,False,False,True,2,new
9.367429587218957,False,False,True,1,used
4.394449154672438,False,False,True,3,new
3.5260663637080247,False,False,True,3,new
5.198497031265825,True,False,True,4,new
5.017279836814924,True,False,True,5,new
9.952325334619427,False,False,True,4,used
3.912023005428146,False,False,True,1,used
6.9574973708769505,False,False,True,6,used
4.51085950651685,False,False,True,6,used
6.90874478925533,False,False,True,4,new
4.499809670330265,True,False,True,3,new
4.74493212836325,True,False,True,1,new
6.2166061010848646,False,False,True,2,new
